file_name,pred1,pred2,pred3,pred4,pred5
000.jpg,sailboat racing,snowmobile racing,canoe slamon,giant slalom,rowing
001.jpg,bowling,shuffleboard,track bicycle,roller derby,basketball
002.jpg,shuffleboard,sumo wrestling,axe throwing,basketball,pommel horse
003.jpg,football,fencing,lacrosse,baseball,jai alai
004.jpg,bull riding,chuckwagon racing,barell racing,horse racing,steer wrestling
005.jpg,skydiving,sky surfing,snow boarding,rock climbing,ice climbing
006.jpg,motorcycle racing,chuckwagon racing,bull riding,horse racing,nascar racing
007.jpg,disc golf,fly fishing,axe throwing,frisbee,archery
008.jpg,snowmobile racing,sidecar racing,bobsled,motorcycle racing,canoe slamon
009.jpg,ampute football,ultimate,tug of war,rugby,croquet
010.jpg,ampute football,field hockey,ultimate,football,golf
011.jpg,hang gliding,bungee jumping,sky surfing,pole climbing,trapeze
012.jpg,speed skating,ski jumping,hockey,rollerblade racing,high jump
013.jpg,bull riding,disc golf,barell racing,steer wrestling,baseball
014.jpg,shuffleboard,axe throwing,arm wrestling,bobsled,air hockey
015.jpg,tennis,frisbee,pole vault,golf,archery
016.jpg,sidecar racing,nascar racing,bobsled,gaga,wingsuit flying
017.jpg,barell racing,axe throwing,archery,wingsuit flying,horseshoe pitching
018.jpg,pole vault,figure skating pairs,javelin,weightlifting,rings
019.jpg,speed skating,giant slalom,curling,snow boarding,hockey
020.jpg,harness racing,wheelchair racing,bike polo,bmx,wheelchair basketball
021.jpg,wheelchair racing,bmx,javelin,baseball,basketball
022.jpg,motorcycle racing,formula 1 racing,sidecar racing,nascar racing,wheelchair racing
023.jpg,rugby,field hockey,football,ultimate,ampute football
024.jpg,boxing,sumo wrestling,basketball,pole dancing,olympic wrestling
025.jpg,uneven bars,balance beam,parallel bar,rings,high jump
026.jpg,wingsuit flying,sky surfing,hang gliding,jai alai,bungee jumping
027.jpg,horse jumping,hurdles,horse racing,football,jousting
028.jpg,horse racing,chuckwagon racing,horse jumping,barell racing,football
029.jpg,rings,javelin,shot put,high jump,pole vault
030.jpg,water polo,swimming,volleyball,log rolling,canoe slamon
031.jpg,rock climbing,fly fishing,canoe slamon,archery,hammer throw
032.jpg,track bicycle,wheelchair racing,rollerblade racing,volleyball,baseball
033.jpg,gaga,formula 1 racing,air hockey,rings,log rolling
034.jpg,air hockey,table tennis,billiards,tennis,rings
035.jpg,javelin,tennis,baseball,baton twirling,shot put
036.jpg,speed skating,ski jumping,curling,giant slalom,snow boarding
037.jpg,shuffleboard,bowling,baton twirling,judo,pommel horse
038.jpg,hockey,speed skating,gaga,parallel bar,pole vault
039.jpg,pole climbing,bmx,rock climbing,archery,horse jumping
040.jpg,sky surfing,snow boarding,ski jumping,speed skating,pole vault
041.jpg,canoe slamon,water polo,rowing,horse jumping,log rolling
042.jpg,wheelchair basketball,wheelchair racing,basketball,tug of war,shot put
043.jpg,hammer throw,shot put,horseshoe pitching,horse jumping,pole climbing
044.jpg,barell racing,bull riding,steer wrestling,horse jumping,horseshoe pitching
045.jpg,boxing,shot put,basketball,wheelchair basketball,sumo wrestling
046.jpg,air hockey,rings,bowling,weightlifting,table tennis
047.jpg,archery,pole vault,tennis,horseshoe pitching,cheerleading
048.jpg,sumo wrestling,bull riding,steer wrestling,barell racing,shuffleboard
049.jpg,axe throwing,frisbee,horseshoe pitching,disc golf,baton twirling
050.jpg,bowling,pommel horse,baton twirling,fencing,arm wrestling
051.jpg,golf,frisbee,shot put,baseball,ski jumping
052.jpg,field hockey,rugby,football,ampute football,cheerleading
053.jpg,steer wrestling,bull riding,barell racing,axe throwing,bowling
054.jpg,hang gliding,pole vault,archery,bungee jumping,ice yachting
055.jpg,billiards,air hockey,pommel horse,table tennis,weightlifting
056.jpg,figure skating women,figure skating men,uneven bars,figure skating pairs,frisbee
057.jpg,axe throwing,shuffleboard,arm wrestling,jai alai,horseshoe pitching
058.jpg,high jump,rings,pole vault,parallel bar,uneven bars
059.jpg,wheelchair basketball,boxing,basketball,volleyball,archery
060.jpg,wheelchair racing,javelin,baseball,rollerblade racing,bmx
061.jpg,judo,pommel horse,bowling,fencing,baseball
062.jpg,polo,rugby,lacrosse,ultimate,jousting
063.jpg,weightlifting,rollerblade racing,tennis,basketball,football
064.jpg,boxing,wheelchair basketball,horse jumping,hurdles,basketball
065.jpg,baseball,basketball,javelin,cricket,tennis
066.jpg,tug of war,ultimate,rugby,croquet,cheerleading
067.jpg,baton twirling,javelin,tennis,baseball,shot put
068.jpg,ice climbing,snow boarding,rock climbing,luge,pole climbing
069.jpg,skydiving,sky surfing,bungee jumping,cheerleading,ski jumping
070.jpg,rowing,canoe slamon,sailboat racing,rollerblade racing,giant slalom
071.jpg,roller derby,weightlifting,curling,basketball,pommel horse
072.jpg,luge,sidecar racing,bobsled,wingsuit flying,nascar racing
073.jpg,nascar racing,sidecar racing,formula 1 racing,sailboat racing,rowing
074.jpg,horse jumping,wheelchair racing,high jump,hurdles,bmx
075.jpg,uneven bars,parallel bar,balance beam,pommel horse,fencing
076.jpg,football,lacrosse,cheerleading,field hockey,baseball
077.jpg,bobsled,luge,sidecar racing,motorcycle racing,formula 1 racing
078.jpg,ultimate,rugby,lacrosse,tug of war,jousting
079.jpg,tug of war,cheerleading,judo,basketball,volleyball
080.jpg,ultimate,frisbee,disc golf,croquet,golf
081.jpg,bull riding,barell racing,horse jumping,bmx,baseball
082.jpg,water polo,volleyball,swimming,bull riding,pole climbing
083.jpg,gaga,rollerblade racing,baseball,wheelchair racing,wheelchair basketball
084.jpg,polo,harness racing,roller derby,horse racing,rugby
085.jpg,canoe slamon,ice climbing,snowmobile racing,giant slalom,skydiving
086.jpg,bowling,javelin,golf,baseball,basketball
087.jpg,horse racing,pole climbing,horse jumping,boxing,steer wrestling
088.jpg,pole dancing,baton twirling,uneven bars,pole vault,trapeze
089.jpg,luge,wingsuit flying,bobsled,sidecar racing,hydroplane racing
090.jpg,ski jumping,bobsled,luge,snow boarding,trapeze
091.jpg,water cycling,bull riding,bmx,wheelchair racing,wingsuit flying
092.jpg,sailboat racing,rowing,giant slalom,surfing,canoe slamon
093.jpg,polo,horse racing,football,rugby,harness racing
094.jpg,table tennis,air hockey,billiards,tennis,parallel bar
095.jpg,rollerblade racing,javelin,high jump,tennis,pole vault
096.jpg,bungee jumping,rings,hydroplane racing,wingsuit flying,pole vault
097.jpg,table tennis,boxing,shot put,horseshoe pitching,basketball
098.jpg,tennis,billiards,figure skating pairs,sky surfing,wingsuit flying
